company,peer_1,peer_2,peer_3,peer_4,peer_5
ABB,SHREECEM,GODREJCP,IRCTC,PIDILITIND,TATACONSUM
ADANIENSOL,LODHA,APOLLOHOSP,TORNTPHARM,JSWENERGY,TRENT
ADANIENT,MOTHERSON,HDFCLIFE,DMART,TVSMOTOR,ICICIPRULI
ADANIGREEN,INDUSINDBK,CHOLAFIN,ADANIENSOL,TVSMOTOR,SHRIRAMFIN
ADANIPORTS,NHPC,HAL,BAJAJHLDNG,DRREDDY,AMBUJACEM
ADANIPOWER,UNIONBANK,BANKBARODA,INDUSINDBK,TATAPOWER,CANBK
AMBUJACEM,DRREDDY,NESTLEIND,ASIANPAINT,LTIM,BOSCHLTD
APOLLOHOSP,TRENT,TATACONSUM,TORNTPHARM,IRCTC,HAVELLS
ASIANPAINT,NESTLEIND,AMBUJACEM,LTIM,DRREDDY,BOSCHLTD
AXISBANK,PFC,RECLTD,IRFC,BAJAJFINSV,BAJFINANCE
BAJAJ-AUTO,HAL,SUNPHARMA,TECHM,NHPC,ULTRACEMCO
BAJAJFINSV,RECLTD,IRFC,PFC,SHRIRAMFIN,BAJFINANCE
BAJAJHLDNG,NAUKRI,LTIM,EICHERMOT,DRREDDY,ASIANPAINT
BAJFINANCE,IRFC,BAJAJFINSV,RECLTD,PFC,CHOLAFIN
BANKBARODA,CANBK,UNIONBANK,ADANIPOWER,INDUSINDBK,KOTAKBANK
BEL,TORNTPHARM,JIOFIN,BRITANNIA,GODREJCP,DABUR
BHARTIARTL,JSWSTEEL,TATASTEEL,TATAMOTORS,SBILIFE,POWERGRID
BHEL,TITAN,DMART,TATACONSUM,HAVELLS,SIEMENS
BOSCHLTD,SIEMENS,DABUR,BRITANNIA,PIDILITIND,JIOFIN
BPCL,IOC,TATAMOTORS,TATASTEEL,LT,ONGC
BRITANNIA,JIOFIN,BOSCHLTD,DABUR,GODREJCP,PIDILITIND
CANBK,BANKBARODA,KOTAKBANK,ICICIBANK,UNIONBANK,ADANIPOWER
CHOLAFIN,SHRIRAMFIN,IRFC,BAJFINANCE,RECLTD,BAJAJFINSV
CIPLA,INDIGO,HEROMOTOCO,ICICIGI,HDFCLIFE,JIOFIN
COALINDIA,HINDUNILVR,HINDALCO,HDFCBANK,HEROMOTOCO,TCS
DABUR,JIOFIN,DIVISLAB,BOSCHLTD,BRITANNIA,PIDILITIND
DIVISLAB,EICHERMOT,DABUR,PIDILITIND,JIOFIN,GODREJCP
DLF,NESTLEIND,BRITANNIA,JIOFIN,ASIANPAINT,JSWENERGY
DMART,TITAN,TATACONSUM,HAVELLS,TRENT,APOLLOHOSP
DRREDDY,LTIM,AMBUJACEM,EICHERMOT,NESTLEIND,DABUR
EICHERMOT,DIVISLAB,DABUR,PIDILITIND,SHREECEM,NAUKRI
GAIL,MARUTI,HCLTECH,JSWSTEEL,LT,INFY
GODREJCP,PIDILITIND,IRCTC,BRITANNIA,DABUR,HAVELLS
GRASIM,M&M,BAJAJFINSV,PFC,RECLTD,IRFC
HAL,TECHM,NHPC,BAJAJ-AUTO,ASIANPAINT,AMBUJACEM
HAVELLS,TATACONSUM,IRCTC,PIDILITIND,GODREJCP,BRITANNIA
HCLTECH,ITC,INFY,TCS,POWERGRID,NTPC
HDFCBANK,COALINDIA,RELIANCE,TCS,INFY,LT
HDFCLIFE,JINDALSTEL,ICICIPRULI,MOTHERSON,ICICIGI,SBILIFE
HEROMOTOCO,CIPLA,INDIGO,HINDUNILVR,HINDALCO,COALINDIA
HINDALCO,HINDUNILVR,COALINDIA,HEROMOTOCO,INDIGO,CIPLA
HINDUNILVR,COALINDIA,HINDALCO,HEROMOTOCO,CIPLA,INDIGO
ICICIBANK,KOTAKBANK,CANBK,NTPC,BANKBARODA,POWERGRID
ICICIGI,IRCTC,JIOFIN,ABB,PIDILITIND,TATACONSUM
ICICIPRULI,MOTHERSON,BHEL,DMART,TITAN,TATACONSUM
INDIGO,CIPLA,HEROMOTOCO,HDFCLIFE,ICICIGI,ICICIPRULI
INDUSINDBK,ADANIGREEN,CHOLAFIN,SHRIRAMFIN,TVSMOTOR,LODHA
INFY,TCS,ITC,HCLTECH,NTPC,ONGC
IOC,BPCL,TATAMOTORS,TATASTEEL,ONGC,RELIANCE
IRCTC,PIDILITIND,GODREJCP,HAVELLS,TATACONSUM,TRENT
IRFC,RECLTD,BAJAJFINSV,PFC,SHRIRAMFIN,BAJFINANCE
ITC,HCLTECH,INFY,TCS,POWERGRID,NTPC
JINDALSTEL,TATAPOWER,HDFCLIFE,JSWENERGY,MOTHERSON,DLF
JIOFIN,DABUR,BRITANNIA,GODREJCP,PIDILITIND,BOSCHLTD
JSWENERGY,TORNTPHARM,GODREJCP,ABB,SHREECEM,BRITANNIA
JSWSTEEL,TATASTEEL,BHARTIARTL,TATAMOTORS,ONGC,NTPC
KOTAKBANK,ICICIBANK,CANBK,BANKBARODA,ITC,POWERGRID
LICI,UNIONBANK,BANKBARODA,IOC,BPCL,ADANIPOWER
LODHA,ADANIENSOL,BEL,JSWENERGY,TORNTPHARM,APOLLOHOSP
LT,IOC,BPCL,RELIANCE,ONGC,GAIL
LTIM,DABUR,DRREDDY,BOSCHLTD,DIVISLAB,EICHERMOT
M&M,GRASIM,BAJAJFINSV,PFC,RECLTD,IRFC
MARUTI,GAIL,JSWSTEEL,HCLTECH,INFY,LT
MOTHERSON,ICICIPRULI,BHEL,DMART,APOLLOHOSP,TATACONSUM
NAUKRI,EICHERMOT,DIVISLAB,IRCTC,PIDILITIND,GODREJCP
NESTLEIND,ASIANPAINT,AMBUJACEM,LTIM,DLF,DRREDDY
NHPC,HAL,TECHM,NESTLEIND,ASIANPAINT,DLF
NTPC,ONGC,RELIANCE,POWERGRID,TCS,INFY
ONGC,NTPC,RELIANCE,TCS,IOC,TATASTEEL
PFC,RECLTD,BAJAJFINSV,IRFC,BAJFINANCE,M&M
PIDILITIND,GODREJCP,IRCTC,HAVELLS,DABUR,BRITANNIA
POWERGRID,NTPC,HCLTECH,ITC,TCS,INFY
RECLTD,BAJAJFINSV,PFC,IRFC,SHRIRAMFIN,BAJFINANCE
RELIANCE,ONGC,NTPC,IOC,LT,BPCL
SBILIFE,HDFCLIFE,JINDALSTEL,BHARTIARTL,TATAPOWER,ADANIENT
SHREECEM,ABB,PIDILITIND,GODREJCP,DABUR,EICHERMOT
SHRIRAMFIN,CHOLAFIN,IRFC,RECLTD,BAJAJFINSV,PFC
SIEMENS,BOSCHLTD,PIDILITIND,DABUR,BRITANNIA,HAVELLS
SUNPHARMA,BAJAJ-AUTO,ULTRACEMCO,HAL,TECHM,NHPC
TATACONSUM,HAVELLS,IRCTC,PIDILITIND,GODREJCP,BRITANNIA
TATAMOTORS,TATASTEEL,IOC,BPCL,JSWSTEEL,BHARTIARTL
TATAPOWER,JINDALSTEL,JSWENERGY,LODHA,DLF,MOTHERSON
TATASTEEL,JSWSTEEL,TATAMOTORS,IOC,BPCL,BHARTIARTL
TCS,INFY,ITC,HCLTECH,NTPC,ONGC
TECHM,HAL,ASIANPAINT,NHPC,BAJAJ-AUTO,AMBUJACEM
TITAN,HAVELLS,TATACONSUM,SIEMENS,DMART,IRCTC
TORNTPHARM,GODREJCP,IRCTC,TRENT,BRITANNIA,APOLLOHOSP
TRENT,APOLLOHOSP,IRCTC,TATACONSUM,HAVELLS,TORNTPHARM
TVSMOTOR,TRENT,APOLLOHOSP,DMART,TITAN,ADANIENSOL
ULTRACEMCO,SUNPHARMA,TECHM,HAL,NHPC,BAJAJ-AUTO
UNIONBANK,ADANIPOWER,BANKBARODA,LICI,CANBK,INDUSINDBK
