symbol,sector
ABB,Healthcare
ADANIENSOL,Energy
ADANIENT,Holding Company
ADANIGREEN,Energy
ADANIPORTS,Ports
ADANIPOWER,Power
AMBUJACEM,Cement
APOLLOHOSP,Healthcare
ASIANPAINT,Paints
ATGL,Energy
AXISBANK,Banking
BAJAJ-AUTO,Auto
BAJAJFINSV,NBFC
BAJAJHLDNG,Holding Company
BAJFINANCE,NBFC
BANKBARODA,Banking
BEL,Defense
BHARTIARTL,Telecom
BHEL,Industrial
BOSCHLTD,Auto
BPCL,Energy
BRITANNIA,Consumer Goods
CANBK,Banking
CHOLAFIN,NBFC
CIPLA,Healthcare
COALINDIA,Mining
DABUR,Consumer Goods
DIVISLAB,Healthcare
DLF,Real Estate
DMART,Consumer Goods
DRREDDY,Healthcare
EICHERMOT,Auto
GAIL,Energy
GODREJCP,Consumer Goods
GRASIM,Cement
HAL,Defense
HAVELLS,Industrial
HCLTECH,IT
HDFCBANK,Banking
HDFCLIFE,Insurance
HEROMOTOCO,Auto
HINDALCO,Metals
HINDUNILVR,Consumer Goods
ICICIBANK,Banking
ICICIGI,Insurance
ICICIPRULI,Insurance
INDIGO,Aviation
INDUSINDBK,Banking
INFY,IT
IOC,Energy
IRCTC,Railways
IRFC,Finance
ITC,Consumer Goods
JINDALSTEL,Metals
JIOFIN,Finance
JSWENERGY,Power
JSWSTEEL,Metals
KOTAKBANK,Banking
LICI,Insurance
LODHA,Real Estate
LT,Industrial
LTIM,IT
M&M,Auto
MARUTI,Auto
MOTHERSON,Auto
NAUKRI,IT
NESTLEIND,Consumer Goods
NHPC,Power
NTPC,Power
ONGC,Energy
PFC,Finance
PIDILITIND,Chemicals
PNB,Banking
POWERGRID,Power
RECLTD,Finance
RELIANCE,Energy
SBILIFE,Insurance
SBIN,Banking
SHREECEM,Cement
SHRIRAMFIN,NBFC
SIEMENS,Industrial
SUNPHARMA,Healthcare
TATACONSUM,Consumer Goods
TATAMOTORS,Auto
TATAPOWER,Power
TATASTEEL,Metals
TCS,IT
TECHM,IT
TITAN,Consumer Goods
TORNTPHARM,Healthcare
TRENT,Retail
TVSMOTOR,Auto